file,name,display_scale,id1,id2,sample_index1,sample_index2,lowpass,highpass,color,input_source,jbox_pin1,jbox_pin2,analysis_type,sync_type,parser_reference,parser_source,parser_pins
00000002.log,F 5-6,50,255,255,,,50000,3000,9,JBOX,74,75,0,0,,,
00000002.log,F 3-4,50,255,255,,,50000,3000,9,JBOX,76,77,0,0,,,
00000002.log,E 7-8,50,255,255,,,50000,3000,10,JBOX,80,81,0,0,,,
00000002.log,E 5-6,50,255,255,,,50000,3000,10,JBOX,82,83,0,0,,,
00000002.log,E 3-4,50,255,255,,,50000,3000,10,JBOX,84,85,0,0,,,
00000002.log,E 1-2,50,255,255,,,50000,3000,10,JBOX,86,87,0,0,,,
00000002.log,D 7-8,50,255,255,,,50000,3000,11,JBOX,88,89,0,0,,,
00000002.log,D 5-6,50,255,255,,,50000,3000,11,JBOX,90,91,0,0,,,
00000002.log,D 3-4,50,255,255,,,50000,3000,11,JBOX,92,93,0,0,,,
00000002.log,C 7-8,50,255,255,,,50000,3000,12,JBOX,96,97,0,0,,,
00000002.log,C 5-6,50,255,255,,,50000,3000,12,JBOX,98,99,0,0,,,
00000002.log,C 3-4,50,255,255,,,50000,3000,12,JBOX,100,101,0,0,,,
00000002.log,C 1-2,50,255,255,,,50000,3000,12,JBOX,103,102,0,0,,,
00000002.log,B 7-8,50,255,255,,,50000,3000,13,JBOX,104,105,0,0,,,
00000002.log,B 5-6,50,255,255,,,50000,3000,13,JBOX,106,107,0,0,,,
00000002.log,B 3-4,50,255,255,,,50000,3000,13,JBOX,108,109,0,0,,,
00000002.log,A 7-8,50,255,255,,,50000,3000,14,JBOX,112,113,0,0,,,
00000002.log,A 5-6,50,255,255,,,50000,3000,14,JBOX,114,115,0,0,,,
00000002.log,A 3-4,50,255,255,,,50000,3000,14,JBOX,116,117,0,0,,,
00000002.log,A 1-2,50,255,255,,,50000,3000,14,JBOX,118,119,0,0,,,
00000002.log,ABLd,50,69,68,21,20,30000,3000,14,JBOX,51,50,0,0,,,
00000002.log,ABLp,50,73,72,23,22,30000,3000,14,JBOX,55,54,0,0,,,
00000002.log,CS 3-4,50,19,18,17,16,30000,3000,10,JBOX,7,6,0,0,,,
00000002.log,I,100,0,255,0,,3000,50,15,ECG,255,255,0,99,0,ECG,()
00000002.log,D 7-8,50,255,255,,,50000,3000,11,JBOX,88,89,0,0,,,
00000002.log,D 6-7,50,255,255,,,50000,3000,11,JBOX,89,90,0,0,,,
00000002.log,D 5-6,50,255,255,,,50000,3000,11,JBOX,90,91,0,0,,,
00000002.log,D 4-5,50,255,255,,,50000,3000,11,JBOX,91,92,0,0,,,
00000002.log,D 3-4,50,255,255,,,50000,3000,11,JBOX,92,93,0,0,,,
00000002.log,D 2-3,50,255,255,,,50000,3000,11,JBOX,93,94,0,0,,,
00000002.log,D 1-2,50,255,255,,,50000,3000,11,JBOX,94,95,0,0,,,
00000002.log,C 7-8,50,255,255,,,50000,3000,12,JBOX,96,97,0,0,,,
00000002.log,C 6-7,50,255,255,,,50000,3000,12,JBOX,97,98,0,0,,,
00000002.log,C 5-6,50,255,255,,,50000,3000,12,JBOX,98,99,0,0,,,
00000002.log,C 4-5,50,255,255,,,50000,3000,12,JBOX,99,100,0,0,,,
00000002.log,C 3-4,50,255,255,,,50000,3000,12,JBOX,100,101,0,0,,,
00000002.log,C 2-3,50,255,255,,,50000,3000,12,JBOX,101,102,0,0,,,
00000002.log,C 1-2,50,255,255,,,50000,3000,12,JBOX,103,102,0,0,,,
00000002.log,B 7-8,50,255,255,,,50000,3000,13,JBOX,104,105,0,0,,,
00000002.log,B 6-7,50,255,255,,,50000,3000,13,JBOX,105,106,0,0,,,
00000002.log,B 5-6,50,255,255,,,50000,3000,13,JBOX,106,107,0,0,,,
00000002.log,B 4-5,50,255,255,,,50000,3000,13,JBOX,107,108,0,0,,,
00000002.log,B 3-4,50,255,255,,,50000,3000,13,JBOX,108,109,0,0,,,
00000002.log,B 2-3,50,255,255,,,50000,3000,13,JBOX,109,110,0,0,,,
00000002.log,B 1-2,50,255,255,,,50000,3000,13,JBOX,110,111,0,0,,,
00000002.log,A 7-8,50,255,255,,,50000,3000,14,JBOX,112,113,0,0,,,
00000002.log,A 6-7,50,255,255,,,50000,3000,14,JBOX,113,114,0,0,,,
00000002.log,A 5-6,50,255,255,,,50000,3000,14,JBOX,114,115,0,0,,,
00000002.log,A 4-5,50,255,255,,,50000,3000,14,JBOX,115,116,0,0,,,
00000002.log,A 3-4,50,255,255,,,50000,3000,14,JBOX,116,117,0,0,,,
00000002.log,A 2-3,50,255,255,,,50000,3000,14,JBOX,117,118,0,0,,,
00000002.log,A 1-2,50,255,255,,,50000,3000,14,JBOX,118,119,0,0,,,
00000002.log,ABLd,50,69,68,21,20,30000,3000,14,JBOX,51,50,0,0,,,
00000002.log,ABLp,50,73,72,23,22,30000,3000,14,JBOX,55,54,0,0,,,
00000002.log,CS 3-4,50,19,18,17,16,30000,3000,10,JBOX,7,6,0,0,,,
00000002.log,I,100,0,255,0,,3000,50,15,ECG,255,255,1,99,0,ECG,()
00000002.log,H 7-8,50,255,255,,,50000,3000,10,JBOX,56,57,0,0,,,
00000002.log,H 6-7,50,255,255,,,50000,3000,1,JBOX,57,58,0,0,,,
00000002.log,H 5-6,50,255,255,,,50000,3000,10,JBOX,58,59,0,0,,,
00000002.log,H 4-5,50,255,255,,,50000,3000,1,JBOX,59,60,0,0,,,
00000002.log,H 3-4,50,255,255,,,50000,3000,10,JBOX,61,60,0,0,,,
00000002.log,H 2-3,50,255,255,,,50000,3000,1,JBOX,61,62,0,0,,,
00000002.log,H 1-2,50,255,255,,,50000,3000,10,JBOX,62,63,0,0,,,
00000002.log,G 7-8,50,255,255,,,50000,3000,15,JBOX,64,65,0,0,,,
00000002.log,G 6-7,50,255,255,,,50000,3000,15,JBOX,65,66,0,0,,,
00000002.log,G 5-6,50,255,255,,,50000,3000,15,JBOX,66,67,0,0,,,
00000002.log,G 4-5,50,255,255,,,50000,3000,15,JBOX,67,68,0,0,,,
00000002.log,G 3-4,50,255,255,,,50000,3000,15,JBOX,68,69,0,0,,,
00000002.log,G 2-3,50,255,255,,,50000,3000,15,JBOX,69,70,0,0,,,
00000002.log,G 1-2,50,255,255,,,50000,3000,15,JBOX,70,71,0,0,,,
00000002.log,F 7-8,50,255,255,,,50000,3000,9,JBOX,72,73,0,0,,,
00000002.log,F 6-7,50,255,255,,,50000,3000,9,JBOX,73,74,0,0,,,
00000002.log,F 5-6,50,255,255,,,50000,3000,9,JBOX,74,75,0,0,,,
00000002.log,F 4-5,50,255,255,,,50000,3000,9,JBOX,75,76,0,0,,,
00000002.log,F 3-4,50,255,255,,,50000,3000,9,JBOX,76,77,0,0,,,
00000002.log,F 2-3,50,255,255,,,50000,3000,9,JBOX,77,78,0,0,,,
00000002.log,F 1-2,50,255,255,,,50000,3000,9,JBOX,78,79,0,0,,,
00000002.log,E 7-8,50,255,255,,,50000,3000,10,JBOX,80,81,0,0,,,
00000002.log,E 6-7,50,255,255,,,50000,3000,10,JBOX,73,74,0,0,,,
00000002.log,E 5-6,50,255,255,,,50000,3000,10,JBOX,82,83,0,0,,,
00000002.log,E 4-5,50,255,255,,,50000,3000,10,JBOX,75,76,0,0,,,
00000002.log,E 3-4,50,255,255,,,50000,3000,10,JBOX,84,85,0,0,,,
00000002.log,E 2-3,50,255,255,,,50000,3000,10,JBOX,85,86,0,0,,,
00000002.log,E 1-2,50,255,255,,,50000,3000,10,JBOX,86,87,0,0,,,
00000002.log,ABLd,50,69,68,21,20,30000,3000,14,JBOX,51,50,0,0,,,
00000002.log,ABLp,50,73,72,23,22,30000,3000,14,JBOX,55,54,0,0,,,
00000002.log,CS 3-4,50,19,18,17,16,30000,3000,10,JBOX,7,6,0,0,,,
00000002.log,I,100,0,255,0,,3000,50,15,ECG,255,255,1,99,0,ECG,()
00000002.log,I,100,0,255,0,,3000,50,15,ECG,255,255,0,0,0,ECG,()
00000002.log,II,100,1,255,1,,3000,50,15,ECG,255,255,1,99,1,ECG,()
00000002.log,III,100,8,255,8,,3000,50,15,ECG,255,255,0,0,8,ECG,()
00000002.log,aVR,100,9,255,9,,3000,50,15,ECG,255,255,0,0,9,ECG,()
00000002.log,aVL,100,10,255,10,,3000,50,15,ECG,255,255,0,0,10,ECG,()
00000002.log,aVF,100,11,255,11,,3000,50,15,ECG,255,255,0,0,11,ECG,()
00000002.log,V1,100,2,255,2,,3000,50,15,ECG,255,255,0,100,2,ECG,()
00000002.log,V2,100,3,255,3,,3000,50,15,ECG,255,255,0,0,3,ECG,()
00000002.log,V3,100,4,255,4,,3000,50,15,ECG,255,255,0,0,4,ECG,()
00000002.log,V4,100,5,255,5,,3000,50,15,ECG,255,255,0,0,5,ECG,()
00000002.log,V5,100,6,255,6,,3000,50,15,ECG,255,255,0,0,6,ECG,()
00000002.log,V6,100,7,255,7,,3000,50,15,ECG,255,255,0,0,7,ECG,()
00000002.log,STIM,100,55,255,40,,20000,0,15,SYNC,0,255,4,0,40,SYNC,"(0,)"
